,Unnamed: 0,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10,노선번호
28,12039,123000648,송파두산위브.송파소방서,127.1416514,37.50012662,1171011200,송파구,오금동,39,20,0,161,5,0,0,1,49,20,0,0,2,20188,0.08192225772097976,5.999405646359584,27423,94542,11318,8331
29,11268,122000302,수서역5번출구,127.10245659999998,37.4869636,1168011500,강남구,수서동,9,9,2,227,3,0,2,1,50,32,0,0,3,27696,0.14795421334632244,8.436186414864451,22544,36749,403530,8441
30,11271,122000305,은곡마을.LH이편한세상,127.1026344,37.46552792,1168011100,강남구,세곡동,27,12,4,77,1,0,0,0,23,19,0,0,1,3523,0.11520248780832568,4.3386699507389155,9767,182815,59304,8441
31,11284,122000318,쟁골마을,127.10516059999999,37.48201553,1168011200,강남구,자곡동,1,0,0,25,0,0,0,1,10,1,1,0,1,3523,0.11520248780832568,4.3386699507389155,9767,15288,95159,8441
32,11415,122000664,은곡마을진입로,127.0985784,37.46576564,1168011100,강남구,세곡동,26,8,4,50,0,0,0,0,17,14,0,0,0,3523,0.11520248780832568,4.3386699507389155,9767,24276,9557,8441
33,11427,122000687,못골마을,127.1018882,37.47310235,1168011200,강남구,자곡동,13,8,0,56,2,0,0,0,20,7,1,0,0,3523,0.11520248780832568,4.3386699507389155,9767,204678,53597,8441
34,11429,122000689,세곡푸르지오,127.0938352,37.46792281,1168011100,강남구,세곡동,16,8,3,11,2,0,0,0,4,3,1,0,1,3523,0.11520248780832568,4.3386699507389155,9767,165396,28964,8441
35,11430,122000690,세곡중학교.세명초등학교,127.09237549999999,37.47032141,1168011200,강남구,자곡동,20,9,1,11,2,0,0,0,1,5,1,0,1,3523,0.11520248780832568,4.3386699507389155,9767,387892,66990,8441
36,11432,122000692,래미안강남힐즈,127.0973807,37.47234832,1168011200,강남구,자곡동,18,7,1,11,3,0,0,0,5,4,1,0,1,3523,0.11520248780832568,4.3386699507389155,9767,162626,28023,8441
37,11440,122000701,강남현대힐스테이트에코,127.1049628,37.47501091,1168011200,강남구,자곡동,13,10,0,59,1,0,0,0,22,7,2,0,0,3523,0.11520248780832568,4.3386699507389155,9767,275584,20869,8441
38,11480,122000743,LH수서아파트,127.10598940000001,37.4773304,1168011200,강남구,자곡동,11,4,0,56,1,0,0,0,17,7,2,0,0,3523,0.11520248780832568,4.3386699507389155,9767,61645,59815,8441
39,9285,119000024,노량진역3번출구,126.94175700000001,37.51339143,1159010100,동작구,노량진동,157,7,1,546,1,0,2,1,117,19,1,0,4,11158,0.21960167714884696,3.3873709775349123,19690,190436,2172729,8551
40,9286,119000025,노량진역2번출구,126.9433483,37.51385357,1159010100,동작구,노량진동,159,4,1,480,1,0,2,1,118,16,1,0,4,11158,0.21960167714884696,3.3873709775349123,19690,298980,90559,8551
41,9351,119000097,동작구청.노량진초등학교앞,126.9400366,37.51037278,1159010100,동작구,노량진동,148,11,1,439,1,0,2,0,103,25,2,0,5,11158,0.21960167714884696,3.3873709775349123,19690,139797,65733,8551
42,9352,119000098,동작구청.노량진초등학교앞,126.94033700000001,37.510453000000005,1159010100,동작구,노량진동,154,11,1,470,1,0,2,0,115,26,2,0,5,11158,0.21960167714884696,3.3873709775349123,19690,124193,627556,8551
43,9353,119000099,장성교회,126.93996820000001,37.50821101,1159010100,동작구,노량진동,86,17,1,198,2,0,1,0,30,46,3,0,7,11158,0.21960167714884696,3.3873709775349123,19690,158162,71438,8551
44,9354,119000100,청화병원,126.94007979999999,37.50724508,1159010100,동작구,노량진동,78,18,1,181,1,0,1,0,31,46,3,0,5,11158,0.21960167714884696,3.3873709775349123,19690,459949,286088,8551
45,9358,119000104,7호선장승배기역.상도2치안센터,126.93913559999999,37.50417184,1159010200,동작구,상도동,84,23,1,202,2,1,1,0,48,50,2,0,4,17364,0.17144228269780648,2.910980720871752,74316,123692,56521,8551
46,9359,119000105,7호선장승배기역.상도2치안센터,126.9393255,37.50434045,1159010200,동작구,상도동,83,22,1,202,1,1,1,0,48,50,3,0,6,17364,0.17144228269780648,2.910980720871752,74316,77287,290284,8551
47,9360,119000106,상도2동아이파크.포스코더샵아파트,126.94083090000001,37.50147931,1159010200,동작구,상도동,85,24,1,190,3,1,1,0,51,45,2,0,4,17364,0.17144228269780648,2.910980720871752,74316,42733,47006,8551
48,9361,119000107,상도2동아이파크.포스코더샵아파트,126.9413548,37.50121555,1159010200,동작구,상도동,84,24,0,183,3,1,1,0,49,43,2,0,4,17364,0.17144228269780648,2.910980720871752,74316,170227,63565,8551
49,9362,119000108,신상도초등학교,126.9431959,37.49958237,1159010200,동작구,상도동,53,22,1,94,1,1,0,0,24,9,0,0,1,17364,0.17144228269780648,2.910980720871752,74316,88345,49230,8551
50,9374,119000124,신상도초등학교,126.94367369999999,37.49937392,1159010200,동작구,상도동,53,21,1,99,1,1,0,0,23,9,0,0,1,17364,0.17144228269780648,2.910980720871752,74316,163500,16168,8551
51,9375,119000125,상도4동약수맨션,126.9436362,37.4980583,1159010200,동작구,상도동,49,17,1,73,2,1,0,0,21,9,0,0,1,17364,0.17144228269780648,2.910980720871752,74316,557017,40409,8551
52,9376,119000126,경향렉스빌.롯데캐슬비엔,126.94291399999999,37.49592954,1159010200,동작구,상도동,31,13,1,61,2,1,0,2,17,6,0,0,1,17364,0.17144228269780648,2.910980720871752,74316,271035,45359,8551
53,9377,119000127,경향렉스빌.롯데캐슬비엔,126.9427353,37.49598532,1159010200,동작구,상도동,32,14,1,61,2,1,0,2,18,6,0,0,1,17364,0.17144228269780648,2.910980720871752,74316,102898,29816,8551
54,9379,119000131,상도4동약수맨션,126.94335690000001,37.49795904,1159010200,동작구,상도동,49,17,1,73,2,1,0,0,21,9,0,0,1,17364,0.17144228269780648,2.910980720871752,74316,131152,17149,8551
55,9756,120000007,봉천역.관악초등학교,126.9433348,37.48236723,1162010100,관악구,봉천동,96,23,1,519,2,0,1,1,94,47,1,0,4,61570,0.25885234176241045,3.828980099502488,170048,249048,435149,8551
56,9895,120000151,신봉초등학교입구,126.94677649999998,37.48432603,1162010100,관악구,봉천동,139,18,2,486,3,0,1,0,79,62,0,0,4,61570,0.25885234176241045,3.828980099502488,170048,81541,34821,8551
57,9896,120000152,구암초등학교,126.94612169999999,37.48918809,1162010100,관악구,봉천동,129,27,2,144,6,0,0,2,32,35,0,0,2,61570,0.25885234176241045,3.828980099502488,170048,146297,13011,8551
58,9897,120000153,은천동벽산블루밍아파트105동,126.9458637,37.48936819,1162010100,관악구,봉천동,128,25,2,143,6,0,0,2,31,35,0,0,2,61570,0.25885234176241045,3.828980099502488,170048,76017,41213,8551
59,9898,120000154,은천동두산아파트3단지,126.94666670000001,37.48446745,1162010100,관악구,봉천동,136,18,3,478,3,0,1,0,75,62,0,0,4,61570,0.25885234176241045,3.828980099502488,170048,77877,73875,8551
60,9900,120000156,봉천역,126.9420825,37.48302172,1162010100,관악구,봉천동,98,23,2,546,3,0,1,1,98,52,1,0,4,61570,0.25885234176241045,3.828980099502488,170048,49721,138870,8551
61,9901,120000157,현대시장,126.9465909,37.48767895,1162010100,관악구,봉천동,137,31,3,183,4,0,0,0,41,37,0,0,4,61570,0.25885234176241045,3.828980099502488,170048,146880,48740,8551
