adm_cd,adm_nm,tot_family,tot_ppltn,corp_cnt,employee_cnt,population_code_15to64,household_cnt_family,household_cnt_alone
11170690,수궁동,9087,23056,1611,6308,16713,6827,2086
11170700,가리봉동,4901,8575,1146,4356,6219,1888,2849
11170710,구로2동,11189,22952,9682,31468,16328,6455,4383
11170720,개봉1동,13401,32778,2202,5620,23405,9607,3591
11170730,오류2동,14360,37255,2082,8589,25335,10889,3258
11170740,항동,5988,15938,534,2003,11170,4570,1358
11180510,가산동,14124,21625,24405,183104,18369,3790,9775
11180520,독산1동,19691,40426,5287,26814,30834,10264,8983
11180530,독산2동,8408,18040,1380,4244,13428,5051,3209
11180540,독산3동,11071,23212,2465,6497,17443,6377,4413
11180550,독산4동,6858,14698,1246,3196,10996,4109,2608
11180570,시흥1동,14439,32310,3802,15740,23470,8840,5285
11180580,시흥2동,7825,20844,792,2493,14474,6147,1592
11180590,시흥3동,4372,10710,3816,10223,7681,3140,1142
11180600,시흥4동,8304,19710,920,2022,14131,5744,2417
11180610,시흥5동,8340,18561,1332,3524,13057,5286,2910
11190540,여의동,11936,30537,15283,171415,20914,8987,2672
11190550,당산1동,9508,19510,5491,27748,14864,5119,4125
11190560,당산2동,16748,35006,4301,29484,27099,8819,7461
11190610,양평1동,8237,16336,3709,25787,12544,4263,3721
11190620,양평2동,9434,21469,3939,24250,16532,5762,3391
11190630,신길1동,9096,16503,1443,5610,12545,3874,4995
11190650,신길3동,6861,15907,1197,2637,11441,4556,2205
11190660,신길4동,4267,9516,552,1614,6863,2714,1475
11190670,신길5동,4422,10412,687,3056,7440,2971,1386
11190680,신길6동,7618,16484,1582,5224,12289,4478,2980
11190690,신길7동,7222,19412,880,3213,14171,5509,1599
11190700,대림1동,6331,13947,1314,4697,9958,3941,2269
11190710,대림2동,6066,11432,1941,5021,8193,3095,2783
11190720,대림3동,9510,21991,3027,10652,15967,6351,2970
11190730,영등포본동,8942,20120,1929,6356,14556,5554,3226
11190740,영등포동,15539,26118,14717,44642,21041,4687,10170
11190750,도림동,8474,17155,1549,3354,12781,4636,3625
11190760,문래동,12180,31569,8242,52334,22092,8966,2947
11200520,노량진2동,6087,11446,2070,7134,8469,2894,3064
11200530,상도1동,20166,43629,2514,9261,32916,11196,8603
11200540,상도2동,11505,26524,1864,5481,19329,7280,4014
11200550,상도3동,10902,23953,1450,3814,17927,6463,4214
11200560,상도4동,12480,27731,1394,3438,20602,7635,4618
11200630,사당1동,12050,22140,2404,10227,17478,5368,6345
11200650,사당3동,9522,23591,1324,4086,16689,6810,2583
11200660,사당4동,6514,13779,874,2042,10240,3739,2651
11200670,사당5동,6092,13995,794,1859,10338,3976,2007
11200680,대방동,16071,37664,2398,12567,28161,9792,6011
11200690,신대방1동,9439,22630,1379,3967,16383,6168,3128
11200700,신대방2동,8792,19272,1789,19931,14177,4949,3672
11200710,흑석동,13411,31614,2012,10067,23177,8591,4562
11200720,노량진1동,14048,30531,2448,8048,22442,8130,5604
11200730,사당2동,10687,25315,2152,6691,18097,7491,3025
11210520,보라매동,11517,23523,1928,6853,17522,6022,5182
11210540,청림동,5928,14752,649,1664,10370,4422,1403
11210570,행운동,16390,28327,2044,7536,22546,6184,9674
11210580,낙성대동,9831,19499,2012,8843,16606,3055,6341
11210610,중앙동,8882,14642,1649,8648,11821,2970,5565
11210620,인헌동,13186,25105,1625,4682,19576,6043,6776
11210630,남현동,8579,17389,1454,10776,13450,4432,3855
11210640,서원동,12921,21759,1839,8666,17685,4705,7607
11210650,신원동,9916,17335,1138,2535,13422,3996,5505
11210660,서림동,12967,22360,1275,3024,17859,4783,7735
11210680,신사동,12500,21724,1981,4822,17221,4843,7282
11210680,신사동,12500,21724,1981,4822,17221,4843,7282
11210680,신사동,12500,21724,1981,4822,17221,4843,7282
11210680,신사동,12500,21724,1981,4822,17221,4843,7282
11210690,신림동,15529,20949,2406,6150,18518,2726,11942
11210710,난향동,5737,14898,584,2061,10419,4317,1354
11210720,조원동,9537,16527,2241,7001,12928,3668,5581
11210730,대학동,14109,22370,2165,15129,18479,3979,9718
11210780,은천동,14837,32664,2221,8076,23656,8720,5723
11210790,성현동,11561,28670,1153,3372,20307,8310,3082
11210800,청룡동,20739,33720,2799,11896,27644,6490,13435
11210810,난곡동,11724,26220,1239,2922,19078,7358,4155
11210820,삼성동,9806,22491,1219,2862,15573,6474,3132
11210830,미성동,12763,29618,2026,5968,21414,8284,4186
11220510,서초1동,8498,19450,6008,41066,14228,5054,3203
11220520,서초2동,8331,18468,8882,62494,13940,4796,3238
11220530,서초3동,12928,29304,12526,92336,22331,7686,4851
11220540,서초4동,10007,28782,4664,32398,20107,8304,1529
11220550,잠원동,10352,26318,3941,19835,19440,7292,2809
11220560,반포본동,3601,10666,799,2683,7603,3207,354
11220570,반포1동,12977,29974,2894,11390,21954,7539,5087
11220580,반포2동,4591,14721,508,2331,9794,4233,314
11220590,반포3동,7036,20367,1428,7796,14399,6048,910
11220600,반포4동,6404,17581,4638,33380,12364,5152,1110
11220610,방배본동,7308,19384,2458,10809,14069,5508,1683
11220620,방배1동,6973,15956,2541,17220,11739,4487,2318
11220630,방배2동,7708,18759,2882,18744,13584,5349,2182
11220640,방배3동,7407,19540,2114,14121,14135,5805,1472
11220650,방배4동,8917,22023,3338,15009,16095,6137,2585
11220660,양재1동,16746,41720,5674,47885,29004,11578,4776
11220670,양재2동,9715,20965,8441,57909,16199,5423,3938
11220680,내곡동,6624,16770,1481,10161,11159,4937,1583
11230510,신사동,6407,14910,6550,30816,10662,4171,2047
11230510,신사동,6407,14910,6550,30816,10662,4171,2047
11230510,신사동,6407,14910,6550,30816,10662,4171,2047
11230510,신사동,6407,14910,6550,30816,10662,4171,2047
11230520,논현1동,12277,20780,8741,51316,17091,4222,7121
11230530,논현2동,10079,19895,9670,79062,15404,4831,4618
11230580,삼성1동,4975,12175,7388,77078,8896,3384,1433
11230590,삼성2동,11869,27362,6612,44585,20353,7140,4236
11230600,대치1동,6986,23187,1451,7606,16372,6619,350
11230630,대치4동,9237,18774,5920,38737,15272,4506,4269
11230640,역삼1동,20356,32643,24169,176573,27837,5912,12735
11230650,역삼2동,13846,33643,6363,48784,25025,8538,4735
11230660,도곡1동,7782,20341,2552,19279,14904,5749,1872
11230670,도곡2동,10773,31011,3045,32776,21681,9214,1408
11230680,개포1동,2328,5942,257,2901,3922,1759,550
11230710,개포4동,7798,19005,3023,14199,14235,5313,2280
11230720,일원본동,7486,22342,711,10317,15770,6472,923
11230730,일원1동,6789,14671,1329,6058,10522,4045,2631
11230740,일원2동,6874,16511,834,10664,11545,4844,1927
11230750,수서동,7377,14341,2263,19509,9398,4184,3083
11230760,세곡동,16739,42448,2435,10569,29301,11526,4891
11230770,압구정동,9202,24181,6345,36673,16271,7165,1822
11230780,청담동,10254,24198,7563,46756,17857,6661,3203
11230790,대치2동,11972,34681,5652,68702,25783,10042,1807
11230800,개포2동,7427,20684,1189,3667,15184,6268,1058
11240510,풍납1동,5776,13246,872,2691,9506,3827,1869
11240520,풍납2동,9807,24304,1713,17050,17985,6774,2880
11240530,거여1동,5022,12259,1109,4388,8904,3527,1396
11240540,거여2동,6781,16322,1055,4924,11644,4783,1872
11240550,마천1동,7899,18701,1188,2794,13060,5315,2403
11240560,마천2동,7786,18568,1525,4467,13092,5309,2296
11240570,방이1동,5752,15183,1878,9891,11399,4259,1381
11240580,방이2동,13074,24716,5150,23447,19852,5942,6641
11240590,오륜동,5498,17788,727,5994,12683,5105,361
11240600,오금동,14344,37560,3365,20188,27423,11033,3077
11240610,송파1동,11283,23395,3118,16126,18449,6137,4706
11240620,송파2동,6985,19202,1304,4404,14111,5653,1242
11240630,석촌동,15316,30935,4013,16880,24340,7933,6716
11240640,삼전동,14526,29746,2758,11415,23487,7583,6327
11240650,가락본동,10576,25609,5160,30094,19600,7135,3173
11240660,가락1동,9534,26380,3974,13528,19259,8167,1255
11240670,가락2동,11482,31071,2940,11056,23050,9030,2272
11240680,문정1동,7854,19447,1883,7168,14728,5564,2134
11240690,문정2동,14590,27462,13655,92534,21649,6554,7515
11240710,잠실본동,13850,27097,4344,20993,21566,6731,6559
11240750,잠실4동,6766,20213,600,1844,13705,6041,669
11240770,잠실6동,5446,15800,3132,56140,11011,4816,577
11240780,잠실7동,3156,8940,298,1315,6037,2823,302
11240790,잠실2동,10998,33886,1182,4821,23514,9739,1160
11240800,잠실3동,11186,32743,2158,9316,22609,9954,1116
11240810,장지동,11408,28902,1816,9823,21294,8437,2747
11240820,위례동,9071,27870,1154,4688,19097,7948,1048
11250530,명일1동,9315,24850,2184,7552,18017,7499,1698
11250540,명일2동,5536,16337,1397,4971,11730,4743,763
11250550,고덕1동,8352,25070,986,2830,17310,7148,1143
11250560,고덕2동,8108,21231,1116,4324,15115,6279,1730
11250580,암사2동,5903,14661,1035,3589,10592,4337,1481
11250590,암사3동,5881,17230,883,2502,11907,5112,707
11250610,천호1동,11401,25921,1909,5950,18985,7362,3749
11250630,천호3동,12312,25165,2416,9198,18991,6663,5205
11250650,성내1동,7513,19037,2890,18065,13933,5586,1808
11250660,성내2동,11418,22664,2490,7223,17143,5943,5143
11250670,성내3동,9554,22053,3130,9578,16561,6221,3134
11250700,둔촌1동,13,28,36,298,16,6,6
11250710,둔촌2동,9940,25532,1978,10406,18553,7398,2389
11250720,암사1동,14431,33719,2419,6061,24707,9612,4551
11250730,천호2동,15701,33386,4639,14258,24611,8837,6378
11250740,길동,19509,43844,5293,24415,32738,12109,6909
11250750,강일동,8887,24113,979,4144,16714,6988,1800
11250760,상일1동,10984,31528,1309,5932,22206,9435,1441
11250770,상일2동,2390,7468,346,20946,5082,2105,281
