NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10
103900175,광희중학교.응봉역,127.0350585,37.55191103,1120010800,성동구,응봉동,34,14,0,42,2,0,1,0,8,6,0,0,2,1237,0.07153532608695652,2.278084714548803,10394,3049,15842
103900176,벽산아파트501동,127.0255027,37.55495534,1120010900,성동구,금호동1가,76,27,2,118,3,0,2,1,38,39,0,0,5,2286,0.10422878828950935,2.8790931989924435,10584,633,3399
103900177,벽산아파트505동,127.0263706,37.55432168,1120010900,성동구,금호동1가,79,27,2,89,3,0,1,0,35,32,0,0,4,2286,0.10422878828950935,2.8790931989924435,10584,1963,1041
103900178,벽산아파트109동,127.0273705,37.55261388,1120010900,성동구,금호동1가,66,27,1,105,1,0,0,0,33,20,0,0,2,2286,0.10422878828950935,2.8790931989924435,10584,8065,520
103900179,벽산아파트107동,127.0274313,37.55168754,1120010900,성동구,금호동1가,48,26,0,102,1,0,0,1,24,13,0,0,2,2286,0.10422878828950935,2.8790931989924435,10584,8104,1377
103900180,벽산노인정,127.0268505,37.55105871,1120010900,성동구,금호동1가,53,24,0,160,1,0,0,1,32,12,0,0,2,2286,0.10422878828950935,2.8790931989924435,10584,383,2073
103900181,벽산하이피아상가,127.0259454,37.5519501,1120010900,성동구,금호동1가,62,31,0,158,1,0,0,0,39,16,0,0,4,2286,0.10422878828950935,2.8790931989924435,10584,1618,4106
103900182,금호고등학교앞,127.0233929,37.55297995,1120011000,성동구,금호동2가,63,24,1,190,3,0,1,1,44,25,1,0,4,1430,0.11487964989059081,2.1029411764705883,8037,2054,2005
103900184,금호정형외과,127.0204579,37.55408677,1120011000,성동구,금호동2가,42,20,1,127,7,0,1,2,35,23,1,0,4,1430,0.11487964989059081,2.1029411764705883,8037,14726,6013
103900185,금호1가동주민센터,127.0208123,37.55472829,1120010900,성동구,금호동1가,48,19,1,131,7,0,1,2,36,23,1,0,4,2286,0.10422878828950935,2.8790931989924435,10584,4098,79766
103900186,왕십리역4번출구.왕십리광장,127.0371039,37.56136535,1120010700,성동구,행당동,82,6,2,831,2,0,4,3,149,78,6,0,7,16110,0.14330225421928477,5.059673366834171,31696,61645,59815
