NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,행정동코드,행정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,public_office_cnt
122000686,23463,못골마을.강남자곡아이파크,127.1016355,37.47341224,1168011200,강남구,자곡동,1168070000,세곡동,12,8,0,54,2,0,0,19,8,2,0
122000687,23464,못골마을,127.1018882,37.47310235,1168011200,강남구,자곡동,1168070000,세곡동,14,8,0,57,2,0,0,20,8,2,0
122000688,23480,세곡푸르지오,127.0937285,37.46752044,1168011100,강남구,세곡동,1168070000,세곡동,10,8,2,7,1,0,0,4,1,1,1
122000689,23482,세곡푸르지오,127.0938352,37.46792281,1168011100,강남구,세곡동,1168070000,세곡동,16,8,3,11,2,0,0,5,3,1,1
122000690,23448,세곡중학교.세명초등학교,127.0923755,37.47032141,1168011200,강남구,자곡동,1168070000,세곡동,20,9,1,11,2,0,0,3,5,1,1
122000691,23447,세곡중학교.세명초등학교,127.0915601,37.47039379,1168011200,강남구,자곡동,1168070000,세곡동,20,9,1,11,2,0,0,3,5,1,1
122000692,23446,래미안강남힐즈,127.0973807,37.47234832,1168011200,강남구,자곡동,1168070000,세곡동,18,7,1,12,3,0,0,6,5,1,1
122000693,23471,래미안강남힐즈,127.0953816,37.47244427,1168011200,강남구,자곡동,1168070000,세곡동,16,7,1,10,3,0,0,4,4,1,1
122000694,23951,삼정호텔,127.0310908,37.50623704,1168010100,강남구,역삼동,1168064000,역삼1동,46,8,0,383,1,1,1,150,75,5,0
122000695,23394,강남한양수자인아파트,127.113478,37.477818,1168011200,강남구,자곡동,1168070000,세곡동,4,5,1,8,0,0,1,5,1,0,0
122000696,23393,강남한양수자인아파트,127.1138014,37.47825392,1168011200,강남구,자곡동,1168070000,세곡동,4,5,1,14,0,0,1,7,1,0,0
122000697,23179,프라마호텔,127.0511569,37.52487292,1168010400,강남구,청담동,1168056500,청담동,35,3,0,302,0,0,2,76,50,25,2
122000698,23528,세곡2지구3.4단지,127.110393,37.476668,1168011200,강남구,자곡동,1168070000,세곡동,14,7,0,26,1,0,0,10,4,2,0
