,pca1,pca2,pca3,pca4,pca5,pca6,gmm_cluster,index,X좌표,Y좌표,NODE_ID
604,0.05586294559300289,0.2015673620230473,-1.725515327997957,-0.5546382041568492,0.4722770909723163,0.10393275333315728,7,9602,126.94417079999998,37.51215539,119900227
550,-1.2139462829964962,-0.783666828004599,0.1937546159916352,-0.22964063049635242,0.8654101173664979,0.8220316328277006,7,2029,127.06741570000001,37.57844024,105000125
379,-0.8467155294428692,-0.9223804268342457,-0.9311201204285996,-1.1562299420290816,0.019957569383572387,0.5505307704545114,7,5208,126.91107040000001,37.60300769,111900021
569,-0.5554505668273567,-0.5364816140608327,-0.5774679900580468,-0.664509944707141,0.23182308075116417,-0.23614551318926283,7,2245,127.0476065,37.57627826,105900032
570,-1.258581050499408,-0.9778397449668355,-0.2889694329794709,-1.1773845218188457,0.329267367276864,-0.7736204481589395,7,2106,127.0609446,37.57775082,105000212
571,-0.557848538799644,-0.7905957665495926,0.41090217371859955,-1.021067867447754,-0.10506160152353665,-0.8601672525369038,7,2217,127.05318159999999,37.58311516,105900004
574,-1.278828354326772,-2.0594274360989675,1.0385481492757893,0.036347335322661,0.046854998135193,1.2618738689499531,7,11377,127.10980020000001,37.4767574,122000720
575,-0.8652526130012652,-0.8743248558900659,0.43909536564898066,-0.8856801112343987,-0.1637388391826855,-0.7310555817271653,7,2007,127.0539399,37.58268049,105000103
577,-0.8370408522015447,-0.8178757439026179,0.3203434226041221,-0.9264654560987614,-0.055813642641251375,-0.8498142394539532,7,2147,127.0538031,37.58285626,105000408
578,-0.49108974832688373,-1.310890320314577,0.1297193129253834,-1.1294384307272602,-0.11609540403057415,-0.3684742079357174,7,9504,126.9510848,37.51034544,119900129
581,-1.285867240737748,-0.9609915023381108,-0.16731493548802565,-0.9804994428441277,0.4498155488406413,-0.3819107595179477,7,2112,127.0616888,37.57810727,105000218
583,-1.002610641852418,-2.040211489381318,1.4670895544661198,0.08437979417723716,0.030095122739378876,1.313467912132446,7,11400,127.1055119,37.47822457,122000744
584,-1.0056082419008026,-1.038049893473332,0.6510671780431744,-1.2704035494724086,-0.2873471600297332,-1.1712743790773141,7,2006,127.0540557,37.58300573,105000102
587,-0.8828013455148485,-0.6492540789139796,-0.7049611932530923,-0.7722265306340904,0.18099008544567607,-0.6505144169122241,7,2036,127.04711840000002,37.57608472,105000133
589,-1.4134748842641056,-1.0752903371913591,0.06631118395688491,-0.7795695829212318,-0.05724209980762448,0.2474553791122561,7,2792,127.06210220000001,37.60553708,107000126
568,-0.7905695332402027,-1.3515714478504912,0.03374986278642161,-1.0333936733389728,-0.05286785380201833,-0.37187994660668705,7,9568,126.95125230000001,37.51014997,119900193
603,0.2137969149793584,0.39614162869976377,-1.6064338814004102,-0.25793000823520956,0.5563103642111931,0.605733017545358,7,9501,126.9432479,37.51350389,119900126
593,-1.426016682730272,-1.040423946378508,0.12484360112489742,-0.5973026839987988,0.05902518722386212,0.6416987764969568,7,2791,127.0618293,37.60564716,107000125
566,-0.4934903006093285,-1.2341668679153375,0.1368586335946473,-0.9686730928850845,0.12127021155945246,-0.07889405249352868,7,9560,126.95136370000002,37.51107274,119900185
600,0.4014970631500802,0.36519362819512796,-1.245429708783058,-0.2801999188379871,0.40434264677052034,0.7907266772303387,7,9519,126.9400888,37.51301484,119900144
565,-0.4856197127588189,-1.22726186369686,0.17125828680657637,-0.9516030835690102,0.12192202495468328,-0.06627297312749762,7,9506,126.9512098,37.51111052,119900131
601,0.1936757003371749,0.39958890038337963,-1.5775707288022347,-0.2328896013172671,0.5850059564758772,0.6231468596791403,7,9524,126.94145359999999,37.51372379,119900149
564,-0.6636585182793104,-0.8612415382123382,0.8072631569250749,-0.8694481136094976,-0.17987628580439652,0.1853517102479573,7,2005,127.0525769,37.58461845,105000101
563,-1.1354716919173569,-0.6776366450452728,-0.5805970895800029,-0.869974429166467,1.0502067982060659,-0.5326933490960554,7,2261,127.0682145,37.58032216,105900048
562,-0.6547072171862971,-0.8539372760054462,0.8367361087168975,-0.8565214199153746,-0.18174205873495003,0.1980754583698838,7,2004,127.0526949,37.58490404,105000100
561,0.32002482243295194,-0.04272596375695806,-0.9655549677291818,-0.3127867518334432,0.5936324794297446,-0.05404338762616113,7,2251,127.05013079999999,37.57893183,105900038
560,-0.33176620984676347,-0.2808614952465838,-1.1047549082549446,-0.5417037138935789,0.4469678282151705,-0.44079566401724346,7,2231,127.04809569999999,37.57642224,105900018
558,-0.9426123880996424,-0.353385798856003,-0.870456029547851,-0.485645905245646,0.2260561326593414,0.10884477538947401,7,2233,127.04560819999999,37.57618354,105900020
557,-1.1740190554825598,-0.7419114538055958,-0.49554350695600696,-0.8471248862811211,0.9424719405035789,-0.42660555355628854,7,2125,127.0682144,37.58016988,105000235
556,-0.3640562096798207,-1.0865677146172434,0.5233746751787139,-0.5422923217121639,0.6354653446705718,0.32998018607174057,7,9253,126.95084469999999,37.51250978,119000029
602,0.5480874262496231,0.5317125671430291,-1.7350481996130755,-0.40897428024427274,0.6177909455409607,0.5129671299805492,7,9331,126.9400622,37.51237684,119000134
554,-1.2345800393093214,-0.8048504465276722,0.15491717986363485,-0.2686281516879875,0.857167456304938,0.8018457611887273,7,2028,127.06729479999998,37.57869532,105000124
567,-0.8329388486314087,-0.8024521536944352,0.47111337314255214,-0.7877100521796261,0.37672681179309025,-0.09501055646650428,7,2163,127.0520741,37.5860505,105000443
527,-0.9132210101802666,-0.5394843917877222,-1.304013565469822,-1.242947942157693,0.044414617913773255,0.09564366072978774,7,2024,127.0556868,37.57630176,105000120
540,-1.1655626584394854,-0.6828391597201896,-0.7301213366933121,-0.865955506415659,0.28930508266344096,0.43574227987758035,7,2023,127.05327720000001,37.5741763,105000119
