NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동_x,academy_cnt,bank_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,RIDE_SUM_6_10,ALIGHT_SUM_6_10,tot_family,tot_ppltn,corp_cnt,employee_cnt,population_code_15to64,household_cnt_family,household_cnt_alone
100000088,종로2가,126.9879232,37.56926954,1111013500,종로구,관철동,186,102,10,0,1467,1,0,5,16,387,68,57,0,9,61645,59815,125,204,641,4091,149,37,82
100000089,종로2가,126.9874613,37.56923165,1111013500,종로구,관철동,181,120,11,0,1431,0,0,5,15,389,68,59,0,10,61645,59815,125,204,641,4091,149,37,82
101000307,청계2가교차로,126.9878779,37.5684809,1111013500,종로구,관철동,175,106,10,0,1389,1,0,5,13,348,72,50,0,9,61645,59815,125,204,641,4091,149,37,82
100000192,청계2가.삼일교,126.9872214,37.56844587,1111013500,종로구,관철동,164,117,9,0,1398,1,0,3,13,366,78,51,0,8,1647,16688,125,204,641,4091,149,37,82
101000313,종각역,126.9828944,37.56937996,1111013500,종로구,관철동,129,173,15,0,1483,0,0,2,7,432,112,66,0,29,61645,59815,125,204,641,4091,149,37,82
100000005,혜화동로터리.여운형활동터,127.001744,37.586243,1111016900,종로구,혜화동,72,32,8,3,596,4,1,2,4,237,36,145,0,4,294069,402594,1468,2946,372,1495,2336,596,821
100000130,혜화동로터리,127.0007247,37.58576463,1111016900,종로구,혜화동,67,29,6,2,609,4,1,1,7,249,28,149,0,3,74034,21857,1468,2946,372,1495,2336,596,821
100000132,혜화역.서울연극센터(장면총리가옥),127.0013282,37.58402281,1111016900,종로구,혜화동,55,34,4,3,644,5,1,1,5,257,24,194,0,2,84321,138882,1468,2946,372,1495,2336,596,821
100000133,혜화역.동성중고(장면총리가옥),127.0017177,37.58456977,1111016900,종로구,혜화동,55,31,4,3,638,5,1,1,4,254,24,189,0,2,124458,93226,1468,2946,372,1495,2336,596,821
100900063,혜화우체국,127.0006137,37.58603766,1111016900,종로구,혜화동,68,28,6,2,603,4,1,1,7,234,28,139,0,3,27555,85098,1468,2946,372,1495,2336,596,821
100900075,혜화역1번출구,127.0019407,37.58345422,1111016900,종로구,혜화동,53,35,4,3,653,6,1,1,5,262,30,198,0,3,131979,14173,1468,2946,372,1495,2336,596,821
100900196,혜화로터리,127.0006454,37.58546186,1111016900,종로구,혜화동,63,29,5,2,607,5,1,1,7,244,28,151,0,2,61645,59815,1468,2946,372,1495,2336,596,821
100900200,혜화동로터리,127.0010032,37.58591961,1111016900,종로구,혜화동,69,28,7,2,616,4,1,1,7,246,32,148,0,3,70725,22390,1468,2946,372,1495,2336,596,821
100900151,혜화초등학교,126.9999909,37.58738929,1111016900,종로구,혜화동,60,24,9,2,429,6,1,0,5,164,25,70,0,5,7690,41031,1468,2946,372,1495,2336,596,821
100900201,국민생활관,126.9993138,37.5896276,1111016900,종로구,혜화동,42,12,10,1,205,7,1,0,2,105,14,35,0,6,4602,62607,1468,2946,372,1495,2336,596,821
101000305,서대문역사거리,126.966893,37.566137,1111017700,종로구,평동,48,53,7,1,464,12,0,1,0,124,47,30,0,10,277260,164852,684,1610,101,1380,1160,466,203
100000376,강북삼성병원,126.9686005,37.56814593,1111017700,종로구,평동,36,45,11,1,364,6,0,1,5,108,43,39,0,12,4762,34735,684,1610,101,1380,1160,466,203
100000368,서대문역사거리.적십자병원,126.9675878,37.56710815,1111017700,종로구,평동,44,53,9,1,433,11,0,1,4,117,49,38,0,11,171721,129075,684,1610,101,1380,1160,466,203
100900044,서대문3번출구,126.9662183,37.56641607,1111017700,종로구,평동,53,53,10,1,468,11,0,1,0,121,56,30,0,9,86589,54823,684,1610,101,1380,1160,466,203
100900154,서울시교육청,126.966825,37.56924297,1111017700,종로구,평동,51,46,13,3,389,6,0,1,4,101,53,34,0,10,2294,15597,684,1610,101,1380,1160,466,203
100900149,강북삼성병원,126.9683377,37.56853152,1111017700,종로구,평동,40,43,11,1,370,5,0,1,5,110,52,39,0,11,1297,45050,684,1610,101,1380,1160,466,203
100000380,서울역사박물관.경희궁앞,126.97038,37.569135,1111012100,종로구,신문로2가,15,46,11,2,390,5,0,0,5,156,46,41,0,15,295034,950455,320,689,433,4475,492,185,124
100000379,서울역사박물관.경희궁앞,126.970609,37.569412,1111012100,종로구,신문로2가,18,47,11,2,438,5,0,0,5,174,52,44,0,16,89170,463148,320,689,433,4475,492,185,124
100000027,서울역사박물관.경교장.강북삼성병원,126.9713911,37.56970191,1111012100,종로구,신문로2가,20,51,9,1,494,5,0,1,7,184,57,51,0,17,61645,59815,320,689,433,4475,492,185,124
100000028,서울역사박물관.경교장.강북삼성병원,126.971248,37.570023,1111012100,종로구,신문로2가,20,53,11,1,520,4,0,1,5,193,57,48,0,17,36094,238490,320,689,433,4475,492,185,124
100000176,서울역사박물관(경교장),126.9702392,37.56930155,1111012100,종로구,신문로2가,15,46,11,2,389,5,0,0,4,156,46,41,0,14,61645,59815,320,689,433,4475,492,185,124
100000384,광화문,126.976093,37.57023752,1111012000,종로구,신문로1가,35,108,11,1,882,1,0,1,5,277,102,57,0,31,401304,736223,320,689,433,4475,492,185,124
100000026,광화문.금호아시아나본관앞,126.9741676,37.57004915,1111012000,종로구,신문로1가,23,85,8,1,638,2,0,1,6,216,59,62,0,30,61645,59815,320,689,433,4475,492,185,124
100000029,광화문.금호아시아나본관앞,126.9731336,37.57028804,1111012000,종로구,신문로1가,20,69,7,1,572,2,0,1,7,205,51,67,0,26,4119,102834,320,689,433,4475,492,185,124
100000030,광화문,126.975837,37.570365,1111012000,종로구,신문로1가,33,105,12,1,848,1,0,1,5,271,97,55,0,31,4642,3735,320,689,433,4475,492,185,124
100000154,서울역사박물관.김구집무실(경교장),126.9721318,37.56990034,1111012000,종로구,신문로1가,20,53,9,1,520,4,0,1,7,195,53,67,0,17,1444,66297,320,689,433,4475,492,185,124
100000175,광화문,126.9752562,37.57039033,1111012000,종로구,신문로1가,31,95,11,1,766,2,0,1,5,244,87,56,0,32,61645,59815,320,689,433,4475,492,185,124
100000361,광화문,126.9754261,37.56993441,1111012000,종로구,신문로1가,33,96,11,1,771,2,0,1,6,242,88,59,0,31,61645,59815,320,689,433,4475,492,185,124
100000328,경희궁,126.9723537,37.5699058,1111012000,종로구,신문로1가,20,54,8,1,521,4,0,1,7,191,53,67,0,17,61645,59815,320,689,433,4475,492,185,124
100000329,광화문,126.9738332,37.57032604,1111012000,종로구,신문로1가,19,81,8,1,621,2,0,1,6,216,54,64,0,30,61645,59815,320,689,433,4475,492,185,124
100000385,광화문,126.9780855,37.57021681,1111012600,종로구,종로1가,41,125,11,1,1048,1,0,2,2,333,105,57,0,30,105340,554339,125,204,641,4091,149,37,82
100000386,종로1가,126.9810661,37.57014825,1111012600,종로구,종로1가,95,172,15,0,1309,0,0,3,4,376,112,52,0,32,144774,724442,125,204,641,4091,149,37,82
100000387,종로1가,126.9813906,37.57022903,1111012600,종로구,종로1가,103,168,15,0,1337,0,0,3,5,378,113,65,0,32,311683,767566,125,204,641,4091,149,37,82
100000092,종로1가,126.981668,37.570063,1111012600,종로구,종로1가,105,166,16,0,1361,0,0,3,6,396,114,66,0,32,61645,59815,125,204,641,4091,149,37,82
100000094,종로1가,126.9814271,37.57036082,1111012600,종로구,종로1가,106,169,15,0,1358,0,0,3,6,392,112,68,0,32,61645,59815,125,204,641,4091,149,37,82
100000095,종로1가,126.980187,37.5704,1111012600,종로구,종로1가,87,154,13,1,1266,0,0,2,3,382,105,66,0,33,61645,59815,125,204,641,4091,149,37,82
100000330,종로1가,126.980129,37.57037,1111012600,종로구,종로1가,87,153,13,1,1264,0,0,2,3,379,106,64,0,33,63760,79149,125,204,641,4091,149,37,82
100000390,종로3가.탑골공원,126.9895647,37.57024498,1111015600,종로구,종로3가,185,74,5,0,1425,0,0,4,18,360,55,55,0,8,220341,319394,125,204,641,4091,149,37,82
100000391,종로3가.탑골공원,126.9899878,37.57036054,1111015600,종로구,종로3가,166,60,5,0,1339,0,0,5,16,339,52,52,0,8,198217,673675,125,204,641,4091,149,37,82
100000392,종로4가.종묘,126.9947219,37.570507,1111015600,종로구,종로3가,85,50,2,0,768,0,0,5,7,190,35,20,0,6,58069,229731,125,204,641,4091,149,37,82
100000085,종로4가.종묘,126.994403,37.57029547,1111015600,종로구,종로3가,92,54,2,0,749,0,0,6,8,186,38,21,0,8,61645,59815,125,204,641,4091,149,37,82
100000086,종로3가역15번출구,126.9908608,37.57009971,1111015600,종로구,종로3가,148,52,4,0,1202,0,0,5,15,325,46,47,0,9,61645,59815,125,204,641,4091,149,37,82
100000098,종로3가,126.9899347,37.57049432,1111015600,종로구,종로3가,167,60,5,0,1342,0,0,4,17,338,52,56,0,8,61645,59815,125,204,641,4091,149,37,82
100000099,종로4가.종묘,126.99417,37.57071,1111015600,종로구,종로3가,94,51,2,0,780,0,0,5,9,196,31,20,0,6,61645,59815,125,204,641,4091,149,37,82
100900066,종로4가.종묘공원,126.9944624,37.57063281,1111015600,종로구,종로3가,91,52,2,0,769,0,0,5,8,196,34,20,0,6,21701,9014,125,204,641,4091,149,37,82
100000334,종로3가,126.9931553,37.57058964,1111015600,종로구,종로3가,105,42,2,0,819,0,0,4,10,228,25,22,0,7,61645,59815,125,204,641,4091,149,37,82
100000335,종로3가,126.9909932,37.57010243,1111015600,종로구,종로3가,142,49,4,0,1184,0,0,5,14,315,44,45,0,9,61645,59815,125,204,641,4091,149,37,82
100000404,종묘.세운상가,126.9935557,37.57035485,1111015600,종로구,종로3가,101,48,2,0,785,0,0,4,9,207,29,20,0,7,61645,59815,125,204,641,4091,149,37,82
100000393,종로4가.종묘,126.9952838,37.57062711,1111016100,종로구,종로4가,72,54,2,0,690,0,0,5,8,168,37,19,0,4,65856,470495,125,204,641,4091,149,37,82
100000394,종로5가.광장시장,126.9988498,37.57075679,1111016100,종로구,종로4가,21,56,5,0,542,1,0,3,4,141,50,22,0,2,174121,485754,125,204,641,4091,149,37,82
100000395,종로5가.광장시장,126.9993346,37.57088063,1111016100,종로구,종로4가,21,54,4,0,565,1,0,3,5,131,52,19,0,2,87154,494597,125,204,641,4091,149,37,82
100000082,종로5가.광장시장,126.999974,37.57066325,1111016100,종로구,종로4가,21,57,4,0,591,1,0,3,5,128,55,20,0,3,61645,59815,125,204,641,4091,149,37,82
100000083,종로5가,126.999863,37.57065784,1111016100,종로구,종로4가,21,57,4,0,585,1,0,3,5,130,54,20,0,3,61645,59815,125,204,641,4091,149,37,82
100000084,종로4가.종묘,126.9967951,37.57042442,1111016100,종로구,종로4가,56,66,5,0,588,0,0,5,5,175,52,19,0,4,61645,59815,125,204,641,4091,149,37,82
100000100,종로4가,126.99562,37.57066767,1111016100,종로구,종로4가,64,52,3,0,649,0,0,4,6,165,35,22,0,3,61645,59815,125,204,641,4091,149,37,82
100000101,종로5가,126.9990558,37.5709588,1111016100,종로구,종로4가,21,54,4,0,550,1,0,3,5,136,50,19,0,2,61645,59815,125,204,641,4091,149,37,82
100000336,종로4가,126.99688,37.57042081,1111016100,종로구,종로4가,56,67,5,0,586,0,0,5,5,170,53,19,0,4,61645,59815,125,204,641,4091,149,37,82
100900191,종로5가역,127.0000249,37.57067136,1111016100,종로구,종로4가,21,57,4,0,589,1,0,3,6,126,56,20,0,4,37286,87986,125,204,641,4091,149,37,82
100000405,광장시장,126.9996734,37.57062373,1111016100,종로구,종로4가,21,56,4,0,577,1,0,3,5,130,54,19,0,2,61645,59815,125,204,641,4091,149,37,82
100000396,종로6가.동대문종합시장,127.0047701,37.57092208,1111016300,종로구,종로5가,14,81,8,1,702,1,0,2,10,167,78,20,0,5,111652,208280,538,966,1669,5013,744,201,322
100000397,종로6가.동대문종합시장,127.0057137,37.57112723,1111016300,종로구,종로5가,16,71,6,1,698,1,0,3,10,160,77,19,0,6,150783,677406,538,966,1669,5013,744,201,322
100000110,종로5가,127.0004857,37.57110388,1111016300,종로구,종로5가,21,55,4,0,580,1,0,2,5,128,55,15,0,5,61645,59815,538,966,1669,5013,744,201,322
100000111,종로6가,127.0025993,37.57117324,1111016300,종로구,종로5가,19,70,8,0,656,1,0,1,8,159,64,15,0,6,61645,59815,538,966,1669,5013,744,201,322
100000112,종로6가,127.0043133,37.57119391,1111016300,종로구,종로5가,15,76,8,1,685,1,0,2,11,172,67,18,0,6,61645,59815,538,966,1669,5013,744,201,322
100000114,종로6가,127.0059751,37.57086134,1111016300,종로구,종로5가,18,75,6,1,698,1,0,3,11,153,82,17,0,6,61645,59815,538,966,1669,5013,744,201,322
100000358,종로6가,127.004294,37.57082447,1111016300,종로구,종로5가,14,81,8,1,720,1,0,2,10,172,77,19,0,6,61645,59815,538,966,1669,5013,744,201,322
100000116,종로5가,127.0021827,37.5705596,1111016300,종로구,종로5가,19,71,4,0,659,1,0,2,8,149,69,17,0,6,24077,50423,538,966,1669,5013,744,201,322
100000117,청계6가.동대문시장,127.0028494,37.56983511,1111016300,종로구,종로5가,12,83,4,0,769,1,0,2,10,173,79,20,0,6,4169,13780,538,966,1669,5013,744,201,322
100000120,종로6가.종로신진시장,127.0035695,37.57080106,1111016300,종로구,종로5가,14,75,8,0,696,1,0,1,10,170,69,18,0,6,61645,59815,538,966,1669,5013,744,201,322
