,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10
1603,104000010,메리놀외방선교회,127.0775414,37.55921103,1121510100,광진구,중곡동,50,6,1,436,0,0,2,2,98,48,5,0,4,24295,0.17658448921737369,3.001977017175337,60196,18352,58037
1604,104000011,메리놀외방선교회,127.0776319,37.55908662,1121510100,광진구,중곡동,51,6,1,452,0,0,2,2,99,48,5,0,4,24295,0.17658448921737369,3.001977017175337,60196,27662,15384
1605,104000012,중곡1동주민센터입구,127.0782794,37.56026752,1121510100,광진구,중곡동,54,7,2,492,0,0,2,2,85,56,4,0,3,24295,0.17658448921737369,3.001977017175337,60196,15575,17728
1606,104000013,중곡1동주민센터입구,127.0784952,37.56094951,1121510100,광진구,중곡동,49,6,2,444,0,0,2,1,74,61,3,0,4,24295,0.17658448921737369,3.001977017175337,60196,28265,45965
1607,104000014,중곡1동사거리,127.0794725,37.56245368,1121510100,광진구,중곡동,58,14,1,394,2,0,0,1,74,43,1,0,4,24295,0.17658448921737369,3.001977017175337,60196,20742,26421
1608,104000015,중곡1동사거리,127.0794161,37.56261501,1121510100,광진구,중곡동,57,16,1,389,2,0,0,1,74,41,1,0,4,24295,0.17658448921737369,3.001977017175337,60196,51270,14460
1609,104000016,중마초등학교.중곡제일골목시장앞,127.0809935,37.5652136,1121510100,광진구,중곡동,52,18,1,353,2,0,1,2,64,47,1,0,3,24295,0.17658448921737369,3.001977017175337,60196,21575,18687
1610,104000018,용마사거리,127.0818721,37.56229075,1121510100,광진구,중곡동,96,23,1,413,2,0,1,1,79,44,2,0,4,24295,0.17658448921737369,3.001977017175337,60196,84515,22830
1611,104000019,중곡2동주민센터앞,127.0808553,37.55988373,1121510100,광진구,중곡동,87,13,2,558,1,0,2,2,90,62,3,0,4,24295,0.17658448921737369,3.001977017175337,60196,67248,39251
1612,104000020,중곡2동주민센터앞,127.0811552,37.55984027,1121510100,광진구,중곡동,90,15,2,551,1,0,2,2,84,62,3,0,4,24295,0.17658448921737369,3.001977017175337,60196,10922,21176
1613,104000021,중곡동성당앞,127.0828472,37.56308993,1121510100,광진구,중곡동,102,20,1,396,2,0,1,2,84,45,2,0,5,24295,0.17658448921737369,3.001977017175337,60196,26679,19559
1614,104000022,종합의료복합단지,127.0833601,37.56388824,1121510100,광진구,중곡동,100,21,1,392,2,0,1,2,78,44,1,0,6,24295,0.17658448921737369,3.001977017175337,60196,13438,23207
1615,104000023,중곡동종점,127.0870619,37.56207257,1121510100,광진구,중곡동,68,12,0,259,6,0,1,0,47,32,2,0,3,24295,0.17658448921737369,3.001977017175337,60196,140207,43185
1616,104000024,중곡보건지소,127.0873831,37.55995657,1121510100,광진구,중곡동,110,18,0,268,5,0,0,0,57,24,1,0,1,24295,0.17658448921737369,3.001977017175337,60196,30630,25568
1617,104000026,중곡우체국앞,127.0839868,37.56148909,1121510100,광진구,중곡동,123,15,1,407,3,0,1,1,81,48,2,0,4,24295,0.17658448921737369,3.001977017175337,60196,10606,14181
1618,104000027,면곡시장,127.0797293,37.56974605,1121510100,광진구,중곡동,48,27,0,220,1,0,0,2,45,14,0,0,3,24295,0.17658448921737369,3.001977017175337,60196,31581,16357
1619,104000028,면곡시장,127.0795827,37.57027689,1121510100,광진구,중곡동,41,27,0,246,1,0,0,1,45,16,0,0,4,24295,0.17658448921737369,3.001977017175337,60196,51127,30119
1620,104000029,중곡아파트,127.0778997,37.56640123,1121510100,광진구,중곡동,35,23,1,222,2,0,0,1,39,29,2,0,4,24295,0.17658448921737369,3.001977017175337,60196,34500,22194
1621,104000030,중곡아파트,127.077177,37.56579555,1121510100,광진구,중곡동,49,18,1,218,3,0,0,0,43,28,2,0,4,24295,0.17658448921737369,3.001977017175337,60196,43471,31235
1622,104000031,중마초등학교.중곡제일골목시장앞,127.0809972,37.56549744,1121510100,광진구,중곡동,52,19,1,349,2,0,1,2,63,47,1,0,3,24295,0.17658448921737369,3.001977017175337,60196,130819,23013
1623,104000032,중곡역입구,127.081615,37.56634043,1121510100,광진구,중곡동,55,20,1,372,2,0,1,1,63,46,1,0,4,24295,0.17658448921737369,3.001977017175337,60196,13764,13253
1624,104000033,중곡역입구,127.0817412,37.56685307,1121510100,광진구,중곡동,51,20,1,352,2,0,1,1,64,46,1,0,4,24295,0.17658448921737369,3.001977017175337,60196,83065,38453
1625,104000034,중곡3동주민센터앞,127.0828854,37.56863463,1121510100,광진구,중곡동,40,18,0,275,2,0,1,1,61,28,1,0,3,24295,0.17658448921737369,3.001977017175337,60196,24193,12658
1626,104000035,중곡3동주민센터앞,127.0826419,37.56849153,1121510100,광진구,중곡동,42,18,0,283,2,0,1,1,62,28,1,0,3,24295,0.17658448921737369,3.001977017175337,60196,121471,25508
1627,104000036,면곡시장앞,127.083137,37.57063502,1121510100,광진구,중곡동,33,16,0,228,2,0,1,1,40,11,3,0,5,24295,0.17658448921737369,3.001977017175337,60196,116353,25947
1628,104000037,면곡시장앞,127.0834177,37.57088969,1121510100,광진구,중곡동,34,15,0,229,2,0,1,1,39,10,3,0,6,24295,0.17658448921737369,3.001977017175337,60196,19100,10506
1629,104000038,용암사입구,127.0860566,37.56791599,1121510100,광진구,중곡동,37,14,0,198,3,0,1,1,54,19,1,0,2,24295,0.17658448921737369,3.001977017175337,60196,58574,48477
1630,104000039,용곡삼거리,127.0855902,37.56793345,1121510100,광진구,중곡동,43,17,0,222,3,0,1,1,56,22,1,0,4,24295,0.17658448921737369,3.001977017175337,60196,21009,8564
1631,104000040,중곡역.국립정신건강센터,127.0845455,37.56604642,1121510100,광진구,중곡동,78,22,1,327,6,0,1,1,69,45,1,0,5,24295,0.17658448921737369,3.001977017175337,60196,11209,32487
1632,104000041,대원고교앞,127.0867086,37.56396603,1121510100,광진구,중곡동,69,12,1,244,7,0,1,1,47,20,1,0,3,24295,0.17658448921737369,3.001977017175337,60196,98084,46236
1633,104000042,용암사입구,127.0863735,37.567868,1121510100,광진구,중곡동,36,13,0,176,3,0,1,1,50,18,1,0,2,24295,0.17658448921737369,3.001977017175337,60196,18738,15849
1634,104000043,대원고교앞,127.0869681,37.56419922,1121510100,광진구,중곡동,67,12,0,214,7,0,1,1,47,18,1,0,3,24295,0.17658448921737369,3.001977017175337,60196,16962,27215
1635,104000044,중곡동종점,127.0873094,37.56269505,1121510100,광진구,중곡동,70,12,0,240,6,0,1,0,47,27,2,0,4,24295,0.17658448921737369,3.001977017175337,60196,33609,86816
1636,104000045,신성시장,127.0879298,37.55831895,1121510100,광진구,중곡동,112,18,1,274,2,0,0,0,55,33,1,0,1,24295,0.17658448921737369,3.001977017175337,60196,77287,58408
