NODE_ID,RIDE_SUM_6_10,ALIGHT_SUM_6_10
100900172,95,9960
100900173,830,7415
100900174,3501,2022
100900176,8829,1532
100900177,30074,22753
100900178,13825,31224
100900179,27517,32912
100900180,273,212
100900181,3243,3886
100900182,5165,756
100900184,3374,11776
100900186,45300,18448
100900187,3251,5691
100900188,1926,592
100900189,205694,17375
100900191,37286,87986
100900192,7641,32225
100900195,4465,24582
100900197,4437,6385
100900198,1805,5189
100900199,418,396
100900200,70725,22390
100900201,4602,62607
100900202,4439,21
100900203,54,9541
100900204,3595,67172
100900205,12876,48816
100900206,19760,15999
100900207,28216,12124
100900210,10281,8206
100900211,48338,9521
100900213,13572,3267
100900214,17315,11320
100900215,3339,2309
100900217,13698,11061
101000001,158530,200739
101000002,644569,687862
101000003,33889,87883
101000004,524701,520813
101000005,355178,556571
101000006,599218,887056
101000007,262939,422254
101000008,62232,102474
101000009,238186,74080
101000010,96814,66750
101000011,112017,28711
101000012,28233,50273
101000013,40475,120332
101000014,28516,39370
101000015,192223,123623
101000016,19489,72433
101000017,26774,43629
101000018,132359,602536
101000020,141760,142120
101000021,35843,84234
101000022,4257,24681
101000023,60646,84668
101000025,30013,63012
101000026,29786,2357
101000027,131204,353163
101000028,109443,36985
101000029,6171,105944
101000030,58700,14642
101000031,7622,61658
101000032,146719,401271
101000033,121874,525723
101000034,70409,233092
101000035,28300,31580
101000036,42569,229037
101000037,79771,365026
101000039,170555,289658
101000040,216193,588238
101000041,179950,588077
101000042,6454,91589
101000043,259945,653938
101000045,24676,92169
101000046,76281,187446
101000047,76356,369199
101000048,43388,41245
101000049,42462,221586
101000050,48164,178089
101000051,54528,186940
101000052,162929,153457
101000053,33998,123886
101000054,140142,72193
101000055,95772,166618
101000056,2547,15279
101000057,63796,250772
101000058,76688,187293
101000059,202632,287577
101000060,216174,111260
101000061,24194,233404
101000062,20995,75046
101000063,16825,168219
101000064,28271,152470
101000065,19616,114092
101000066,26693,142193
101000067,24164,64201
101000068,8636,30450
101000069,21664,6286
101000070,35344,64543
101000071,306575,129858
101000072,53390,199849
101000073,41030,108574
101000074,135080,265492
101000075,142419,229666
101000077,137375,150972
101000078,52308,93185
101000079,69787,93036
101000080,69201,82717
101000081,123970,130719
101000082,149138,147903
101000083,287080,206506
101000084,82478,46371
101000085,156151,118106
101000086,72513,96892
101000087,65263,78484
101000088,169190,102710
101000089,95998,147346
101000090,129188,57489
101000091,51482,35533
101000092,212286,49265
101000093,137946,48071
101000094,80421,66313
101000095,52975,44178
101000096,75487,29798
101000097,34417,76887
101000098,32503,77029
101000099,42857,99273
101000100,71945,133565
101000101,19525,84840
101000102,43667,125831
101000103,40330,97536
101000104,30285,86937
101000105,22897,60433
101000106,22376,187748
101000107,23889,50896
101000108,46619,8873
101000109,71524,11205
101000110,2825,15109
101000111,4466,17279
101000113,10239,100221
101000114,147004,541935
101000115,1369,2585
101000116,1038,3456
101000117,89631,17018
101000119,2869,8810
101000120,6779,11288
101000121,2190,4631
101000122,5280,9034
101000123,2597,8187
101000124,43208,43319
101000125,11202,14824
101000128,12178,114222
101000130,18872,18997
101000131,156698,33029
101000132,83279,46569
101000135,1440,2615
101000136,9547,14268
101000137,1939,44500
101000141,55297,445208
101000147,126933,35982
101000148,81689,1338
101000149,4262,10470
101000150,19044,23818
101000151,39003,3621
101000152,30926,30905
101000153,33036,12429
101000154,48836,37421
101000155,49664,17163
101000156,4150,58208
101000157,5030,19584
101000160,914,2830
101000163,8918,59594
101000164,32517,12044
101000165,23792,45370
101000166,15726,24924
101000168,110116,46261
101000252,255828,79345
